Monte Carlo orbits from Find_Orb
Computed Tue Apr 14 16:47:28 2015
Find_Orb version Aug  2 2014 16:45:46
Full Monte Carlo

   The format of these orbits is that of the Minor Planet Center's
MPCORB dataset. Each object's elements are stored on a single line,
the format of which is described at:

          http://www.minorplanetcenter.org/iau/info/MPOrbitFormat.html

   Note that certain parameters such as the number of oppositions and
internal MPC data are replaced in the following with spaces or asterisks.
Also note that this is a lousy format for objects with large semimajor
axes,  because the precision of the mean anomaly drops.  Also,  this
format cannot handle parabolic or hyperbolic orbits at all.  To get around
this,  Find_Orb can create MPCORB.DAT-like files in which the mean anomaly
and mean motion are replaced with the integer and fractional parts,
respectively,  of the JD of periapsis;  and the semimajor axis is replaced
by the perihelion distance.  (At some point,  non-heliocentric orbits
could also be supported.)  Unfortunately, this is not readable with most
existing software.

   Also,  be advised that more verbose elements,  including such data
as state vectors and MOIDs with all major planets (and JD of periapsis
and perihelion distance)  are written to the file 'state.txt' in something
resembling the MPC's eight-line format.

A brief header is given below:

Des'n     H     G   Epoch     M        Peri.      Node       Incl.       e            n           a        Reference #Obs #Opp    Arc    rms  Perts   Computer
----------------------------------------------------------------------------------------------------------------------------------------------------------------
00042   22.96  0.15 K14CS   7.88906   56.99596    2.21404    3.12201  0.5697572  0.21858999   2.7292870    FO 150414    33   1   34 days 0.44 M-P 06  Find_Orb   0000 K14Wa5R [42]                20141228
00043   22.82  0.15 K14CS   7.88652   56.99794    2.21249    3.12231  0.5698368  0.21852234   2.7298502    FO 150414    33   1   34 days 0.36 M-P 06  Find_Orb   0000 K14Wa5R [43]                20141228
00044   22.91  0.15 K14CS   7.88275   56.99683    2.21235    3.12283  0.5699707  0.21841013   2.7307851    FO 150414    33   1   34 days 0.37 M-P 06  Find_Orb   0000 K14Wa5R [44]                20141228
00045   22.86  0.15 K14CS   7.88728   56.99873    2.21218    3.12218  0.5698086  0.21854612   2.7296522    FO 150414    33   1   34 days 0.51 M-P 06  Find_Orb   0000 K14Wa5R [45]                20141228
00046   23.01  0.15 K14CS   7.88416   56.99846    2.21131    3.12260  0.5699197  0.21845291   2.7304286    FO 150414    33   1   34 days 0.47 M-P 06  Find_Orb   0000 K14Wa5R [46]                20141228
00047   22.94  0.15 K14CS   7.88232   56.99738    2.21159    3.12287  0.5699864  0.21839684   2.7308959    FO 150414    33   1   34 days 0.40 M-P 06  Find_Orb   0000 K14Wa5R [47]                20141228
00048   22.71  0.15 K14CS   7.88425   56.99589    2.21306    3.12265  0.5699236  0.21845007   2.7304522    FO 150414    33   1   34 days 0.39 M-P 06  Find_Orb   0000 K14Wa5R [48]                20141228
00049   22.77  0.15 K14CS   7.88422   56.99584    2.21311    3.12266  0.5699244  0.21844946   2.7304574    FO 150414    33   1   34 days 0.46 M-P 06  Find_Orb   0000 K14Wa5R [49]                20141228
00050   22.98  0.15 K14CS   7.88288   56.99843    2.21146    3.12279  0.5699607  0.21841800   2.7307196    FO 150414    33   1   34 days 0.37 M-P 06  Find_Orb   0000 K14Wa5R [50]                20141228
00051   22.92  0.15 K14CS   7.88370   56.99739    2.21199    3.12271  0.5699377  0.21843754   2.7305567    FO 150414    33   1   34 days 0.35 M-P 06  Find_Orb   0000 K14Wa5R [51]                20141228
00052   22.70  0.15 K14CS   7.88699   56.99986    2.21146    3.12223  0.5698141  0.21854069   2.7296974    FO 150414    33   1   34 days 0.43 M-P 06  Find_Orb   0000 K14Wa5R [52]                20141228
00053   22.87  0.15 K14CS   7.87893   56.99606    2.21149    3.12334  0.5701089  0.21829438   2.7317503    FO 150414    33   1   34 days 0.38 M-P 06  Find_Orb   0000 K14Wa5R [53]                20141228
00054   22.90  0.15 K14CS   7.88548   56.99943    2.21107    3.12241  0.5698703  0.21849398   2.7300865    FO 150414    33   1   34 days 0.42 M-P 06  Find_Orb   0000 K14Wa5R [54]                20141228
00055   22.76  0.15 K14CS   7.88222   56.99609    2.21244    3.12291  0.5699931  0.21839156   2.7309400    FO 150414    33   1   34 days 0.40 M-P 06  Find_Orb   0000 K14Wa5R [55]                20141228
00056   23.20  0.15 K14CS   7.88583   56.99618    2.21324    3.12243  0.5698678  0.21849697   2.7300616    FO 150414    33   1   34 days 0.41 M-P 06  Find_Orb   0000 K14Wa5R [56]                20141228
00057   22.88  0.15 K14CS   7.88048   57.00067    2.20963    3.12305  0.5700358  0.21835431   2.7312505    FO 150414    33   1   34 days 0.43 M-P 06  Find_Orb   0000 K14Wa5R [57]                20141228
00058   22.98  0.15 K14CS   7.89034   56.99222    2.21700    3.12192  0.5697220  0.21862073   2.7290311    FO 150414    33   1   34 days 0.48 M-P 06  Find_Orb   0000 K14Wa5R [58]                20141228
00059   22.94  0.15 K14CS   7.88808   57.00040    2.21104    3.12206  0.5697774  0.21857178   2.7294386    FO 150414    33   1   34 days 0.41 M-P 06  Find_Orb   0000 K14Wa5R [59]                20141228
00060   22.89  0.15 K14CS   7.88113   56.99813    2.21080    3.12302  0.5700257  0.21836363   2.7311728    FO 150414    33   1   34 days 0.37 M-P 06  Find_Orb   0000 K14Wa5R [60]                20141228
00061   22.93  0.15 K14CS   7.88965   56.99343    2.21592    3.12199  0.5697436  0.21860228   2.7291847    FO 150414    33   1   34 days 0.45 M-P 06  Find_Orb   0000 K14Wa5R [61]                20141228
00062   22.81  0.15 K14CS   7.88368   56.99650    2.21264    3.12272  0.5699406  0.21843552   2.7305735    FO 150414    33   1   34 days 0.42 M-P 06  Find_Orb   0000 K14Wa5R [62]                20141228
00063   23.06  0.15 K14CS   7.88650   56.99670    2.21312    3.12234  0.5698424  0.21851797   2.7298866    FO 150414    33   1   34 days 0.43 M-P 06  Find_Orb   0000 K14Wa5R [63]                20141228
00064   22.95  0.15 K14CS   7.88186   56.99559    2.21246    3.12297  0.5700090  0.21837845   2.7310492    FO 150414    33   1   34 days 0.36 M-P 06  Find_Orb   0000 K14Wa5R [64]                20141228
00065   22.83  0.15 K14CS   7.88097   56.99957    2.21015    3.12301  0.5700243  0.21836421   2.7311679    FO 150414    33   1   34 days 0.37 M-P 06  Find_Orb   0000 K14Wa5R [65]                20141228
00066   22.73  0.15 K14CS   7.88763   56.99965    2.21155    3.12215  0.5697941  0.21855768   2.7295560    FO 150414    33   1   34 days 0.44 M-P 06  Find_Orb   0000 K14Wa5R [66]                20141228
00067   22.91  0.15 K14CS   7.88226   56.99827    2.21110    3.12287  0.5699851  0.21839763   2.7308893    FO 150414    33   1   34 days 0.41 M-P 06  Find_Orb   0000 K14Wa5R [67]                20141228
00068   23.08  0.15 K14CS   7.88933   56.99727    2.21377    3.12196  0.5697399  0.21860384   2.7291717    FO 150414    33   1   34 days 0.44 M-P 06  Find_Orb   0000 K14Wa5R [68]                20141228
00069   22.89  0.15 K14CS   7.87920   56.99770    2.21065    3.12328  0.5700936  0.21830672   2.7316475    FO 150414    33   1   34 days 0.42 M-P 06  Find_Orb   0000 K14Wa5R [69]                20141228
00070   22.89  0.15 K14CS   7.89084   56.99624    2.21452    3.12178  0.5696926  0.21864412   2.7288365    FO 150414    33   1   34 days 0.43 M-P 06  Find_Orb   0000 K14Wa5R [70]                20141228
00071   23.00  0.15 K14CS   7.89034   56.99594    2.21468    3.12185  0.5697103  0.21862931   2.7289597    FO 150414    33   1   34 days 0.43 M-P 06  Find_Orb   0000 K14Wa5R [71]                20141228
00072   23.09  0.15 K14CS   7.88687   56.99433    2.21488    3.12233  0.5698359  0.21852434   2.7298336    FO 150414    33   1   34 days 0.41 M-P 06  Find_Orb   0000 K14Wa5R [72]                20141228
00073   22.86  0.15 K14CS   7.88659   56.99662    2.21334    3.12232  0.5698387  0.21852124   2.7298594    FO 150414    33   1   34 days 0.43 M-P 06  Find_Orb   0000 K14Wa5R [73]                20141228
00074   22.98  0.15 K14CS   7.88265   56.99353    2.21427    3.12291  0.5699851  0.21839897   2.7308781    FO 150414    33   1   34 days 0.41 M-P 06  Find_Orb   0000 K14Wa5R [74]                20141228
00075   22.91  0.15 K14CS   7.88275   57.00219    2.20875    3.12272  0.5699563  0.21842085   2.7306958    FO 150414    33   1   34 days 0.36 M-P 06  Find_Orb   0000 K14Wa5R [75]                20141228
00076   23.01  0.15 K14CS   7.88895   56.99689    2.21380    3.12202  0.5697552  0.21859113   2.7292775    FO 150414    33   1   34 days 0.40 M-P 06  Find_Orb   0000 K14Wa5R [76]                20141228
00077   22.89  0.15 K14CS   7.88661   56.99708    2.21293    3.12232  0.5698376  0.21852203   2.7298528    FO 150414    33   1   34 days 0.39 M-P 06  Find_Orb   0000 K14Wa5R [77]                20141228
00078   22.98  0.15 K14CS   7.88011   57.00176    2.20850    3.12308  0.5700483  0.21834352   2.7313405    FO 150414    33   1   34 days 0.41 M-P 06  Find_Orb   0000 K14Wa5R [78]                20141228
00079   22.86  0.15 K14CS   7.88337   56.99549    2.21292    3.12277  0.5699566  0.21842258   2.7306813    FO 150414    33   1   34 days 0.47 M-P 06  Find_Orb   0000 K14Wa5R [79]                20141228
00080   22.88  0.15 K14CS   7.89185   56.98926    2.21897    3.12178  0.5696806  0.21865631   2.7287351    FO 150414    33   1   34 days 0.46 M-P 06  Find_Orb   0000 K14Wa5R [80]                20141228
00081   22.93  0.15 K14CS   7.88740   56.99570    2.21365    3.12223  0.5698170  0.21854014   2.7297020    FO 150414    33   1   34 days 0.41 M-P 06  Find_Orb   0000 K14Wa5R [81]                20141228
00082   22.98  0.15 K14CS   7.88464   56.99652    2.21282    3.12260  0.5699073  0.21846328   2.7303422    FO 150414    33   1   34 days 0.45 M-P 06  Find_Orb   0000 K14Wa5R [82]                20141228
00083   22.88  0.15 K14CS   7.88465   57.00102    2.21007    3.12250  0.5698927  0.21847448   2.7302489    FO 150414    33   1   34 days 0.40 M-P 06  Find_Orb   0000 K14Wa5R [83]                20141228
00084   23.00  0.15 K14CS   7.88789   56.99375    2.21522    3.12221  0.5698040  0.21855134   2.7296087    FO 150414    33   1   34 days 0.45 M-P 06  Find_Orb   0000 K14Wa5R [84]                20141228
00085   22.86  0.15 K14CS   7.88431   56.99466    2.21379    3.12267  0.5699254  0.21844884   2.7304625    FO 150414    33   1   34 days 0.39 M-P 06  Find_Orb   0000 K14Wa5R [85]                20141228
00086   22.74  0.15 K14CS   7.89024   56.99582    2.21443    3.12186  0.5697167  0.21862417   2.7290025    FO 150414    33   1   34 days 0.41 M-P 06  Find_Orb   0000 K14Wa5R [86]                20141228
00087   22.86  0.15 K14CS   7.87998   56.99960    2.20958    3.12314  0.5700615  0.21833330   2.7314257    FO 150414    33   1   34 days 0.42 M-P 06  Find_Orb   0000 K14Wa5R [87]                20141228
00088   23.03  0.15 K14CS   7.88466   56.99463    2.21395    3.12263  0.5699129  0.21845922   2.7303760    FO 150414    33   1   34 days 0.46 M-P 06  Find_Orb   0000 K14Wa5R [88]                20141228
00089   22.84  0.15 K14CS   7.88195   57.00224    2.20830    3.12281  0.5699858  0.21839659   2.7308980    FO 150414    33   1   34 days 0.43 M-P 06  Find_Orb   0000 K14Wa5R [89]                20141228
00090   22.93  0.15 K14CS   7.88630   56.99523    2.21400    3.12239  0.5698540  0.21850876   2.7299633    FO 150414    33   1   34 days 0.41 M-P 06  Find_Orb   0000 K14Wa5R [90]                20141228
00091   22.94  0.15 K14CS   7.88522   56.99553    2.21361    3.12254  0.5698901  0.21847820   2.7302179    FO 150414    33   1   34 days 0.47 M-P 06  Find_Orb   0000 K14Wa5R [91]                20141228
00092   22.78  0.15 K14CS   7.88457   56.99815    2.21196    3.12257  0.5699034  0.21846623   2.7303177    FO 150414    33   1   34 days 0.47 M-P 06  Find_Orb   0000 K14Wa5R [92]                20141228
00093   22.93  0.15 K14CS   7.89265   56.98989    2.21894    3.12167  0.5696496  0.21868203   2.7285211    FO 150414    33   1   34 days 0.45 M-P 06  Find_Orb   0000 K14Wa5R [93]                20141228
00094   22.87  0.15 K14CS   7.88495   56.99638    2.21286    3.12255  0.5698982  0.21847142   2.7302744    FO 150414    33   1   34 days 0.39 M-P 06  Find_Orb   0000 K14Wa5R [94]                20141228
00095   22.98  0.15 K14CS   7.88432   56.99489    2.21381    3.12266  0.5699231  0.21845072   2.7304469    FO 150414    33   1   34 days 0.44 M-P 06  Find_Orb   0000 K14Wa5R [95]                20141228
00096   22.86  0.15 K14CS   7.88438   56.99822    2.21174    3.12260  0.5699107  0.21846002   2.7303694    FO 150414    33   1   34 days 0.44 M-P 06  Find_Orb   0000 K14Wa5R [96]                20141228
00097   22.98  0.15 K14CS   7.88485   56.99812    2.21181    3.12253  0.5698956  0.21847303   2.7302610    FO 150414    33   1   34 days 0.45 M-P 06  Find_Orb   0000 K14Wa5R [97]                20141228
00098   22.78  0.15 K14CS   7.89164   56.99366    2.21612    3.12172  0.5696748  0.21865995   2.7287048    FO 150414    33   1   34 days 0.46 M-P 06  Find_Orb   0000 K14Wa5R [98]                20141228
00099   23.04  0.15 K14CS   7.88615   56.99592    2.21366    3.12241  0.5698558  0.21850683   2.7299794    FO 150414    33   1   34 days 0.43 M-P 06  Find_Orb   0000 K14Wa5R [99]                20141228
00100   23.13  0.15 K14CS   7.88186   56.99545    2.21247    3.12297  0.5700099  0.21837780   2.7310547    FO 150414    33   1   34 days 0.47 M-P 06  Find_Orb   0000 K14Wa5R [100]               20141228
00101   22.83  0.15 K14CS   7.88602   56.99389    2.21478    3.12246  0.5698678  0.21849737   2.7300582    FO 150414    33   1   34 days 0.50 M-P 06  Find_Orb   0000 K14Wa5R [101]               20141228
